Sube_ID,Category,Date_,Sales,Sales_Target
31,Auto,2023-01-25,3206,3056
32,Auto,2023-01-25,2918,3630
33,Auto,2023-01-25,2566,3312
34,Auto,2023-01-25,2807,3325
35,Auto,2023-01-25,2712,2508
36,Auto,2023-01-25,2565,2501
37,Auto,2023-01-25,2618,2499
38,Auto,2023-01-25,2986,2828
39,Auto,2023-01-25,2333,2679
40,Auto,2023-01-25,2482,2362
41,Auto,2023-01-25,2013,2626
42,Auto,2023-01-25,2055,2174
43,Auto,2023-01-25,3141,2947
44,Auto,2023-01-25,2572,2291
45,Auto,2023-01-25,1666,2489
46,Auto,2023-01-25,1500,1472
47,Auto,2023-01-25,1506,1954
48,Auto,2023-01-25,1670,2295
49,Auto,2023-01-25,1695,2082
50,Auto,2023-01-25,1408,1579
51,Auto,2023-01-25,1886,2210
52,Auto,2023-01-25,1266,1315
53,Auto,2023-01-25,2042,1857
54,Auto,2023-01-25,1437,1457
55,Auto,2023-01-25,1856,1693
56,Auto,2023-01-25,1826,1445
57,Auto,2023-01-25,1442,1512
58,Auto,2023-01-25,1893,1652
59,Auto,2023-01-25,1797,1090
60,Auto,2023-01-25,1113,1051
61,Auto,2023-01-25,1408,1518
62,Auto,2023-01-25,1555,1243
63,Auto,2023-01-25,1592,1084
64,Auto,2023-01-25,1247,1477
65,Auto,2023-01-25,1594,928
66,Auto,2023-01-25,1404,1335
67,Auto,2023-01-25,1124,1066
68,Auto,2023-01-25,915,860
69,Auto,2023-01-25,1208,1175
70,Auto,2023-01-25,1120,831
71,Auto,2023-01-25,749,789
72,Auto,2023-01-25,1054,848
73,Auto,2023-01-25,983,983
74,Auto,2023-01-25,757,783
75,Auto,2023-01-25,1101,805
76,Auto,2023-01-25,993,920
77,Auto,2023-01-25,846,658
78,Auto,2023-01-25,733,587
79,Auto,2023-01-25,384,526
80,Auto,2023-01-25,486,499
81,Auto,2023-01-25,368,354
1,Personal,2023-02-25,45323,56761
2,Personal,2023-02-25,20725,27139
3,Personal,2023-02-25,22317,17506
4,Personal,2023-02-25,16407,11040
5,Personal,2023-02-25,9171,11293
6,Personal,2023-02-25,9412,8537
7,Personal,2023-02-25,12960,7745
8,Personal,2023-02-25,10698,7783
9,Personal,2023-02-25,9055,7552
10,Personal,2023-02-25,7882,7476
11,Personal,2023-02-25,6892,9007
12,Personal,2023-02-25,9038,9563
13,Personal,2023-02-25,6980,5732
14,Personal,2023-02-25,6624,8165
15,Personal,2023-02-25,6261,7862
16,Personal,2023-02-25,5467,5043
17,Personal,2023-02-25,5810,6948
18,Personal,2023-02-25,5238,6751
19,Personal,2023-02-25,4102,3992
20,Personal,2023-02-25,5639,4542
21,Personal,2023-02-25,3629,5221
22,Personal,2023-02-25,4475,5755
23,Personal,2023-02-25,4743,4999
24,Personal,2023-02-25,3884,4534
25,Personal,2023-02-25,5116,4520
26,Personal,2023-02-25,4775,3422
27,Personal,2023-02-25,4726,3614
28,Personal,2023-02-25,4633,3091
29,Personal,2023-02-25,3449,2791
30,Personal,2023-02-25,3916,4437
31,Personal,2023-02-25,3617,3065
32,Personal,2023-02-25,3139,3407
33,Personal,2023-02-25,2688,2693
34,Personal,2023-02-25,2707,2641
35,Personal,2023-02-25,2428,3465
36,Personal,2023-02-25,2846,2898
37,Personal,2023-02-25,2053,2100
38,Personal,2023-02-25,3192,2025
39,Personal,2023-02-25,2316,2307
40,Personal,2023-02-25,2515,2395
41,Personal,2023-02-25,2821,1959
42,Personal,2023-02-25,2253,2581
43,Personal,2023-02-25,2612,2875
44,Personal,2023-02-25,1879,2008
45,Personal,2023-02-25,1976,2391
46,Personal,2023-02-25,2380,2303
47,Personal,2023-02-25,2187,2018
48,Personal,2023-02-25,2305,1504
49,Personal,2023-02-25,1469,1642
50,Personal,2023-02-25,1399,1405
51,Personal,2023-02-25,1781,1402
52,Personal,2023-02-25,1819,2147
53,Personal,2023-02-25,1577,1830
54,Personal,2023-02-25,1878,1746
55,Personal,2023-02-25,1372,1635
56,Personal,2023-02-25,1596,1209
57,Personal,2023-02-25,1292,1472
58,Personal,2023-02-25,1410,1582
59,Personal,2023-02-25,1786,1221
60,Personal,2023-02-25,1752,1673
61,Personal,2023-02-25,1565,1614
62,Personal,2023-02-25,1396,1234
63,Personal,2023-02-25,1594,1007
64,Personal,2023-02-25,1563,1487
65,Personal,2023-02-25,949,1432
66,Personal,2023-02-25,1590,988
67,Personal,2023-02-25,1364,1007
68,Personal,2023-02-25,1294,985
69,Personal,2023-02-25,1186,1007
70,Personal,2023-02-25,889,908
71,Personal,2023-02-25,1137,859
72,Personal,2023-02-25,1233,900
73,Personal,2023-02-25,989,820
74,Personal,2023-02-25,1072,992
75,Personal,2023-02-25,885,1108
76,Personal,2023-02-25,779,856
77,Personal,2023-02-25,560,863
78,Personal,2023-02-25,762,693
79,Personal,2023-02-25,421,487
80,Personal,2023-02-25,478,341
81,Personal,2023-02-25,482,330
1,Mortgage,2023-02-25,57359,50444
2,Mortgage,2023-02-25,33485,22096
3,Mortgage,2023-02-25,21367,16496
4,Mortgage,2023-02-25,11159,14630
5,Mortgage,2023-02-25,13309,10836
6,Mortgage,2023-02-25,10184,8853
7,Mortgage,2023-02-25,7950,8986
8,Mortgage,2023-02-25,8093,11195
9,Mortgage,2023-02-25,10997,9751
10,Mortgage,2023-02-25,9950,8492
11,Mortgage,2023-02-25,9752,10005
12,Mortgage,2023-02-25,10384,8840
13,Mortgage,2023-02-25,5862,5704
14,Mortgage,2023-02-25,7222,6068
15,Mortgage,2023-02-25,6003,7251
16,Mortgage,2023-02-25,5336,5084
17,Mortgage,2023-02-25,7199,6489
18,Mortgage,2023-02-25,6180,5615
19,Mortgage,2023-02-25,5094,4636
20,Mortgage,2023-02-25,4226,5826
21,Mortgage,2023-02-25,6100,3913
22,Mortgage,2023-02-25,4942,5162
23,Mortgage,2023-02-25,5361,5193
24,Mortgage,2023-02-25,3760,5590
25,Mortgage,2023-02-25,3058,5183
26,Mortgage,2023-02-25,4286,4719
27,Mortgage,2023-02-25,4114,4410
28,Mortgage,2023-02-25,3588,2966
29,Mortgage,2023-02-25,3501,3798
30,Mortgage,2023-02-25,3589,4431
31,Mortgage,2023-02-25,3712,3521
32,Mortgage,2023-02-25,2296,3235
33,Mortgage,2023-02-25,2763,3502
34,Mortgage,2023-02-25,3352,2314
35,Mortgage,2023-02-25,2422,2211
36,Mortgage,2023-02-25,2674,2650
37,Mortgage,2023-02-25,2340,3495
38,Mortgage,2023-02-25,3122,2748
39,Mortgage,2023-02-25,1869,2548
40,Mortgage,2023-02-25,2295,2197
41,Mortgage,2023-02-25,2461,2121
42,Mortgage,2023-02-25,2664,2905
43,Mortgage,2023-02-25,2458,2999
44,Mortgage,2023-02-25,2465,2479
45,Mortgage,2023-02-25,2028,2170
46,Mortgage,2023-02-25,2082,2505
47,Mortgage,2023-02-25,2242,2138
48,Mortgage,2023-02-25,1768,2078
49,Mortgage,2023-02-25,2349,2418
50,Mortgage,2023-02-25,2276,2233
51,Mortgage,2023-02-25,1319,1847
52,Mortgage,2023-02-25,1268,1487
53,Mortgage,2023-02-25,1311,2107
54,Mortgage,2023-02-25,1312,2059
55,Mortgage,2023-02-25,2002,1248
56,Mortgage,2023-02-25,1271,1460
57,Mortgage,2023-02-25,1510,1707
58,Mortgage,2023-02-25,1413,1688
59,Mortgage,2023-02-25,1778,1118
60,Mortgage,2023-02-25,1468,1729
61,Mortgage,2023-02-25,1311,1009
62,Mortgage,2023-02-25,1622,1399
63,Mortgage,2023-02-25,1327,1099
64,Mortgage,2023-02-25,1075,1075
65,Mortgage,2023-02-25,1190,1261
66,Mortgage,2023-02-25,1455,1573
67,Mortgage,2023-02-25,877,1148
68,Mortgage,2023-02-25,1468,914
69,Mortgage,2023-02-25,1426,1220
70,Mortgage,2023-02-25,915,812
71,Mortgage,2023-02-25,977,1082
72,Mortgage,2023-02-25,894,756
73,Mortgage,2023-02-25,1137,1079
74,Mortgage,2023-02-25,747,726
75,Mortgage,2023-02-25,884,967
76,Mortgage,2023-02-25,713,709
77,Mortgage,2023-02-25,961,926
78,Mortgage,2023-02-25,569,667
79,Mortgage,2023-02-25,452,504
80,Mortgage,2023-02-25,392,334
81,Mortgage,2023-02-25,457,312
1,Auto,2023-02-25,57154,55789
2,Auto,2023-02-25,22930,30264
3,Auto,2023-02-25,23015,16860
4,Auto,2023-02-25,15700,11274
5,Auto,2023-02-25,12066,13531
6,Auto,2023-02-25,8385,10089
7,Auto,2023-02-25,10553,10220
8,Auto,2023-02-25,8985,11558
9,Auto,2023-02-25,10388,7201
10,Auto,2023-02-25,9967,7633
11,Auto,2023-02-25,6820,8062
12,Auto,2023-02-25,6780,9933
13,Auto,2023-02-25,8376,8656
14,Auto,2023-02-25,6715,6318
15,Auto,2023-02-25,5036,6964
16,Auto,2023-02-25,6671,5566
17,Auto,2023-02-25,4398,7308
18,Auto,2023-02-25,4838,6262
19,Auto,2023-02-25,5897,4212
20,Auto,2023-02-25,4411,4268
21,Auto,2023-02-25,3807,4944
22,Auto,2023-02-25,4856,5478
23,Auto,2023-02-25,4929,5711
24,Auto,2023-02-25,3869,5294
25,Auto,2023-02-25,5030,4014
26,Auto,2023-02-25,3931,3379
27,Auto,2023-02-25,3805,3087
28,Auto,2023-02-25,3904,4129
29,Auto,2023-02-25,3394,4005
30,Auto,2023-02-25,3904,3028
31,Auto,2023-02-25,4176,4326
32,Auto,2023-02-25,2520,3432
33,Auto,2023-02-25,2806,3540
34,Auto,2023-02-25,2225,2111
35,Auto,2023-02-25,3189,2672
36,Auto,2023-02-25,2367,2476
37,Auto,2023-02-25,3202,3166
38,Auto,2023-02-25,3304,2223
39,Auto,2023-02-25,2578,2986
40,Auto,2023-02-25,2058,2194
41,Auto,2023-02-25,2995,2450
42,Auto,2023-02-25,2469,2136
43,Auto,2023-02-25,1817,2412
44,Auto,2023-02-25,2016,2087
45,Auto,2023-02-25,2168,2003
46,Auto,2023-02-25,2048,1666
47,Auto,2023-02-25,1673,2308
48,Auto,2023-02-25,2016,1916
49,Auto,2023-02-25,1640,1907
50,Auto,2023-02-25,1418,1582
51,Auto,2023-02-25,1818,1607
52,Auto,2023-02-25,1577,1463
53,Auto,2023-02-25,1514,1767
54,Auto,2023-02-25,1921,1898
55,Auto,2023-02-25,1761,1971
56,Auto,2023-02-25,1790,1438
57,Auto,2023-02-25,1383,1703
58,Auto,2023-02-25,1299,1297
59,Auto,2023-02-25,1828,1297
60,Auto,2023-02-25,1186,1419
61,Auto,2023-02-25,1150,1096
62,Auto,2023-02-25,1280,1478
63,Auto,2023-02-25,1103,1222
64,Auto,2023-02-25,1212,1310
65,Auto,2023-02-25,1310,1188
66,Auto,2023-02-25,1403,1322
67,Auto,2023-02-25,1239,1289
68,Auto,2023-02-25,932,1475
69,Auto,2023-02-25,1024,953
70,Auto,2023-02-25,874,821
71,Auto,2023-02-25,988,1064
72,Auto,2023-02-25,885,1048
73,Auto,2023-02-25,784,1096
74,Auto,2023-02-25,692,1139
75,Auto,2023-02-25,1084,1072
76,Auto,2023-02-25,667,867
77,Auto,2023-02-25,785,642
78,Auto,2023-02-25,539,699
79,Auto,2023-02-25,493,537
80,Auto,2023-02-25,296,380
81,Auto,2023-02-25,343,497
1,Personal,2023-03-25,37884,55247
2,Personal,2023-03-25,22623,26151
3,Personal,2023-03-25,15806,24039
4,Personal,2023-03-25,17856,15082
5,Personal,2023-03-25,12690,12425
6,Personal,2023-03-25,8830,12303
7,Personal,2023-03-25,12732,12660
8,Personal,2023-03-25,7328,12228
9,Personal,2023-03-25,11376,11345
10,Personal,2023-03-25,10790,6965
11,Personal,2023-03-25,9079,7089
12,Personal,2023-03-25,9324,7470
13,Personal,2023-03-25,8803,7958
14,Personal,2023-03-25,6103,7976
15,Personal,2023-03-25,4861,4907
16,Personal,2023-03-25,4784,5213
17,Personal,2023-03-25,6984,5273
18,Personal,2023-03-25,6517,5552
19,Personal,2023-03-25,5706,5766
20,Personal,2023-03-25,5837,6240
21,Personal,2023-03-25,5224,3642
22,Personal,2023-03-25,4200,4457
23,Personal,2023-03-25,4255,5485
24,Personal,2023-03-25,5323,4042
25,Personal,2023-03-25,5004,3872
26,Personal,2023-03-25,3365,3011
27,Personal,2023-03-25,2897,3384
28,Personal,2023-03-25,3100,3423
29,Personal,2023-03-25,2944,3135
30,Personal,2023-03-25,3704,2873
31,Personal,2023-03-25,4295,3126
32,Personal,2023-03-25,3432,2432
33,Personal,2023-03-25,3386,3534
34,Personal,2023-03-25,2234,2326
35,Personal,2023-03-25,3167,2814
36,Personal,2023-03-25,3397,2233
37,Personal,2023-03-25,3104,3331
38,Personal,2023-03-25,2960,3313
39,Personal,2023-03-25,2720,2252
40,Personal,2023-03-25,2955,2483
41,Personal,2023-03-25,2154,2480
42,Personal,2023-03-25,2350,1891
43,Personal,2023-03-25,1980,2344
44,Personal,2023-03-25,2610,2635
45,Personal,2023-03-25,2325,2414
46,Personal,2023-03-25,1887,1813
47,Personal,2023-03-25,1881,1936
48,Personal,2023-03-25,2270,2328
49,Personal,2023-03-25,1546,1527
50,Personal,2023-03-25,1751,1540
51,Personal,2023-03-25,1684,1914
52,Personal,2023-03-25,1275,2130
53,Personal,2023-03-25,2120,2044
54,Personal,2023-03-25,1427,1248
55,Personal,2023-03-25,2034,2036
56,Personal,2023-03-25,1853,1638
57,Personal,2023-03-25,1808,1250
58,Personal,2023-03-25,1592,1378
59,Personal,2023-03-25,1788,1476
60,Personal,2023-03-25,1133,1396
61,Personal,2023-03-25,1539,1068
62,Personal,2023-03-25,1346,1153
63,Personal,2023-03-25,1661,1334
64,Personal,2023-03-25,1438,1568
65,Personal,2023-03-25,1226,1530
66,Personal,2023-03-25,1451,1304
67,Personal,2023-03-25,1379,884
68,Personal,2023-03-25,1350,1302
69,Personal,2023-03-25,1407,859
70,Personal,2023-03-25,1032,1308
71,Personal,2023-03-25,1008,755
72,Personal,2023-03-25,1184,1271
73,Personal,2023-03-25,1135,702
74,Personal,2023-03-25,1147,1030
75,Personal,2023-03-25,830,808
76,Personal,2023-03-25,876,740
77,Personal,2023-03-25,967,887
78,Personal,2023-03-25,760,576
79,Personal,2023-03-25,481,341
80,Personal,2023-03-25,378,321
81,Personal,2023-03-25,421,352
1,Mortgage,2023-03-25,43229,58032
2,Mortgage,2023-03-25,24876,19834
3,Mortgage,2023-03-25,23334,21471
4,Mortgage,2023-03-25,12209,11783
5,Mortgage,2023-03-25,13450,11473
6,Mortgage,2023-03-25,11607,13057
7,Mortgage,2023-03-25,10478,11104
8,Mortgage,2023-03-25,10550,9581
9,Mortgage,2023-03-25,11848,8087
10,Mortgage,2023-03-25,8981,10544
11,Mortgage,2023-03-25,6714,8726
12,Mortgage,2023-03-25,10366,9700
13,Mortgage,2023-03-25,6734,8564
14,Mortgage,2023-03-25,8346,8395
15,Mortgage,2023-03-25,5431,7866
16,Mortgage,2023-03-25,5068,5834
17,Mortgage,2023-03-25,4308,6725
18,Mortgage,2023-03-25,5118,5864
19,Mortgage,2023-03-25,5034,6268
20,Mortgage,2023-03-25,5624,3892
21,Mortgage,2023-03-25,4781,4968
22,Mortgage,2023-03-25,3630,4572
23,Mortgage,2023-03-25,5004,4489
24,Mortgage,2023-03-25,5819,4447
25,Mortgage,2023-03-25,4907,4572
26,Mortgage,2023-03-25,3111,4665
27,Mortgage,2023-03-25,2816,3805
28,Mortgage,2023-03-25,4173,2917
29,Mortgage,2023-03-25,4021,3183
30,Mortgage,2023-03-25,4016,3952
31,Mortgage,2023-03-25,2735,3115
32,Mortgage,2023-03-25,3005,2673
33,Mortgage,2023-03-25,3172,3677
34,Mortgage,2023-03-25,2988,3536
35,Mortgage,2023-03-25,3483,3085
36,Mortgage,2023-03-25,2817,2692
37,Mortgage,2023-03-25,2560,3352
38,Mortgage,2023-03-25,3255,3267
39,Mortgage,2023-03-25,2301,1995
40,Mortgage,2023-03-25,1916,2199
41,Mortgage,2023-03-25,2930,2132
42,Mortgage,2023-03-25,2495,2035
43,Mortgage,2023-03-25,2977,2486
44,Mortgage,2023-03-25,1635,1798
45,Mortgage,2023-03-25,1571,2449
46,Mortgage,2023-03-25,1578,1795
47,Mortgage,2023-03-25,2269,1719
48,Mortgage,2023-03-25,2340,2165
49,Mortgage,2023-03-25,1640,2182
50,Mortgage,2023-03-25,1692,1456
51,Mortgage,2023-03-25,1376,1693
52,Mortgage,2023-03-25,2163,1777
53,Mortgage,2023-03-25,1777,1973
54,Mortgage,2023-03-25,1866,1370
55,Mortgage,2023-03-25,1432,1421
56,Mortgage,2023-03-25,1192,1357
57,Mortgage,2023-03-25,1308,1733
58,Mortgage,2023-03-25,1717,1156
59,Mortgage,2023-03-25,1092,1689
60,Mortgage,2023-03-25,1363,1151
61,Mortgage,2023-03-25,1343,1404
62,Mortgage,2023-03-25,1622,1470
63,Mortgage,2023-03-25,1322,994
64,Mortgage,2023-03-25,986,1524
65,Mortgage,2023-03-25,1539,1397
66,Mortgage,2023-03-25,1426,1166
67,Mortgage,2023-03-25,1231,1489
68,Mortgage,2023-03-25,1330,976
69,Mortgage,2023-03-25,1331,1056
70,Mortgage,2023-03-25,926,1111
71,Mortgage,2023-03-25,1248,833
72,Mortgage,2023-03-25,1143,978
73,Mortgage,2023-03-25,816,745
74,Mortgage,2023-03-25,1084,859
75,Mortgage,2023-03-25,697,789
76,Mortgage,2023-03-25,653,673
77,Mortgage,2023-03-25,914,636
78,Mortgage,2023-03-25,754,833
79,Mortgage,2023-03-25,500,476
80,Mortgage,2023-03-25,327,412
81,Mortgage,2023-03-25,307,330
1,Auto,2023-03-25,52014,58537
2,Auto,2023-03-25,30264,27215
3,Auto,2023-03-25,18152,19637
4,Auto,2023-03-25,16905,12484
5,Auto,2023-03-25,11165,13552
6,Auto,2023-03-25,11949,8099
7,Auto,2023-03-25,10519,12872
8,Auto,2023-03-25,8731,11435
9,Auto,2023-03-25,9941,8826
10,Auto,2023-03-25,6759,9721
11,Auto,2023-03-25,10815,7778
12,Auto,2023-03-25,7100,8184
13,Auto,2023-03-25,5867,5906
14,Auto,2023-03-25,8236,7099
15,Auto,2023-03-25,5756,7479
16,Auto,2023-03-25,7959,6015
17,Auto,2023-03-25,5576,4404
18,Auto,2023-03-25,4608,5944
19,Auto,2023-03-25,5497,4311
20,Auto,2023-03-25,4372,6194
21,Auto,2023-03-25,4926,5739
22,Auto,2023-03-25,4972,5078
23,Auto,2023-03-25,4586,5624
24,Auto,2023-03-25,3808,5206
25,Auto,2023-03-25,4753,5076
26,Auto,2023-03-25,3817,4511
27,Auto,2023-03-25,3864,3640
28,Auto,2023-03-25,4295,2811
29,Auto,2023-03-25,3751,4355
30,Auto,2023-03-25,3054,2943
31,Auto,2023-03-25,2565,3076
32,Auto,2023-03-25,2755,3428
33,Auto,2023-03-25,3219,3482
34,Auto,2023-03-25,2309,3400
35,Auto,2023-03-25,3498,2480
36,Auto,2023-03-25,2348,2286
37,Auto,2023-03-25,3394,2783
38,Auto,2023-03-25,2793,2887
39,Auto,2023-03-25,2075,1974
40,Auto,2023-03-25,2947,2204
41,Auto,2023-03-25,2314,1987
42,Auto,2023-03-25,2786,2980
43,Auto,2023-03-25,1886,2568
44,Auto,2023-03-25,1723,1875
45,Auto,2023-03-25,2625,1530
46,Auto,2023-03-25,2032,1813
47,Auto,2023-03-25,1850,1826
48,Auto,2023-03-25,1504,1842
49,Auto,2023-03-25,1787,1519
50,Auto,2023-03-25,1486,1514
51,Auto,2023-03-25,2222,2227
52,Auto,2023-03-25,1294,1736
53,Auto,2023-03-25,1754,1829
54,Auto,2023-03-25,2133,1722
55,Auto,2023-03-25,1469,1303
56,Auto,2023-03-25,1484,1481
57,Auto,2023-03-25,1741,1450
58,Auto,2023-03-25,1468,1483
59,Auto,2023-03-25,1459,1835
60,Auto,2023-03-25,1564,1046
61,Auto,2023-03-25,1122,1186
62,Auto,2023-03-25,1014,1278
63,Auto,2023-03-25,1252,1110
64,Auto,2023-03-25,1185,1337
65,Auto,2023-03-25,1214,1542
66,Auto,2023-03-25,1259,1511
67,Auto,2023-03-25,1389,1327
68,Auto,2023-03-25,1386,1204
69,Auto,2023-03-25,1271,830
70,Auto,2023-03-25,821,1372
71,Auto,2023-03-25,984,868
72,Auto,2023-03-25,825,1001
73,Auto,2023-03-25,873,1010
74,Auto,2023-03-25,1040,1057
75,Auto,2023-03-25,1011,1078
76,Auto,2023-03-25,911,643
77,Auto,2023-03-25,566,820
78,Auto,2023-03-25,493,818
79,Auto,2023-03-25,393,378
80,Auto,2023-03-25,333,412
